droga,marca,presentacion,laboratorio,precio
"cistina,",,500 500 mg comp.x 90,HLB Pharma,4564.95
"cistina,",,6 comp.rec.x 30,Savant Consumer,12064.5
"cistina,",,rec.x 60,,30820.66
"cistina,",,asoc. AMINOTERAPIA comp.x 30,Raymos-Megalabs,35192.59
"cistina,",,asoc. RECUPEL comp.x 60,CassarÃ¡,39140.0
"cistina,",,asoc. AMINOTERAPIA comp.x 90,Raymos-Megalabs,79934.99
"cistina,",,asoc. MEGAPLUS sob.monodosis x 30,Siegfried,36627.25
"cistina,",,asoc. AMINOTERAPIA sob.x 30,Raymos-Megalabs,13569.64
citalopram,SEROPRAM,20 mg comp.rec.x 28,Lundbeck,68027.57
citalopram,"HUMORAP 38.169,33",20 mg comp.x 28,BagÃ³,15302.08
citalopram,LENEPAL,20 mg comp.x 30,Lepetit,28070.0
citalopram,"PSICONOR 65.987,15",20 mg comp.x 30,Teva argentina,13980.76
citalopram,"HUMORAP 68.454,57",40 mg comp.x 28,BagÃ³,23756.47
citalopram,,rec.x 30,Roemmers,11930.98
citarabina,,100 mg,,60889.39
citarabina,,1000 mg,,123490.46
citarabina,,CITARABINA LKM 100 iny.liof.f.a.x 1,LKM Onco/Especi,8313.0
citarabina,,CITARABINA LKM 1000 iny.liof.f.a.x 1,LKM Onco/Especi,82855.0
citicolina,,1000 1000 mg,Baliarda,3732.18
citicolina,"REAGIN 59.046,04",250 250 mg comp.x 20,Baliarda,11519.23
citicolina,"REAGIN 92.183,65",250 250 mg comp.x 30,Baliarda,18158.48
citicolina,,500 500 mg,Baliarda,6329.46
citicolina,,"REAGIN 500 comp.rec.ran.x 20 76.852,87",Baliarda,14993.0
citicolina,,30 ml,Baliarda,10312.21
citicolina,,"REAGIN 1000 sobres x 10 122.130,96",Baliarda,22928.82
"citicolina,",,dihidroergotoxina REAGIN VASCULAR 250 comp.ran.x 20,Baliarda,85659.42
"citicolina,",,250 comp.rec.x 30,Roemmers,50571.0
"citicolina,",,dihidroergotoxina REAGIN VASCULAR comp.x 20,Baliarda,51796.61
"citicolina,",,dihidroergotoxina COMPLEGEL VASCULAR comp.x 30,Roemmers,49798.0
"citicolina,",,dihidroergotoxina REAGIN VASCULAR comp.x 30,Baliarda,84216.05
cladribina,EMECLAD,10 mg comp.x 1,Tuteur,6249586.74
cladribina,EURIT,10 mg comp.x 1,Richmond,6463504.3
cladribina,NADRIB,10 mg comp.x 1,Varifarma,6475680.23
cladribina,MAVENCLAD,10 mg comp.x 1,Merck Serono,10296078.44
cladribina,,10 mg,Varifarma,933088.14
cladribina,,10 mg,Varifarma,6737878.38
cladribina,,INTOCEL iny.a.x 1,Sidus,827357.4
cladribina,,INTOCEL iny.a.x 7,Sidus,5784738.21
claritromicina,ISET U.D.,1 g comp.x 8,Casasco,31881.28
claritromicina,CLARIMAX UD,1000 1000 mg comp.rec.AP.x 14,Montpellier,59042.66
claritromicina,CLARIMAX UD,1000 1000 mg comp.rec.AP.x 7,Montpellier,29367.28
claritromicina,,125 mg,Sidus,509.23
claritromicina,,60 ml,Biotenk,14616.43
claritromicina,,60 ml,Mar,13300.0
claritromicina,,60 ml,Montpellier,4273.43
claritromicina,,60 ml,Casasco,14569.58
claritromicina,,60 ml,Klonal,4392.9
claritromicina,,70 ml,Siegfried,4354.96
claritromicina,,60 ml,Baliarda,15699.03
claritromicina,"ISET 23.241,77",250 mg comp.x 16,Casasco,5849.24
claritromicina,,250 mg,Sidus,1024.81
claritromicina,,60 ml,Biotenk,28299.64
claritromicina,,100 ml,Mar,34100.0
claritromicina,,60 ml,Savant Generic,4098.9
claritromicina,,60 ml,Mar,25370.0
claritromicina,,60 ml,Montpellier,8510.65
claritromicina,,60 ml,Elea,9318.92
claritromicina,,100 ml,Casasco,48400.99
claritromicina,,60 ml,Casasco,8536.36
claritromicina,,60 ml,Klonal,29225.36
claritromicina,,70 ml,Siegfried,9223.37
claritromicina,CLARITROMICINA RICHET,250mg,Richet,8357.3
claritromicina,,60 ml,Baliarda,30743.8
claritromicina,"CORIXA UD 9.598,83",500 mg comp.lib.modif.x4,Biotenk,2715.14
claritromicina,"CORIXA UD 18.818,18",500 mg comp.lib.modif.x8,Biotenk,5319.59
claritromicina,"CLAROVIL UD 9.850,96",500 mg comp.lib.prol.x 4,Beta,2994.94
claritromicina,"CLARIBIOTIC U.D. 10.489,32",500 mg comp.lib.prol.x 4,Baliarda,2892.87
claritromicina,"CLAROVIL UD 18.770,13",500 mg comp.lib.prol.x 8,Beta,5706.6
claritromicina,"CLARIBIOTIC U.D. 20.525,16",500 mg comp.lib.prol.x 8,Baliarda,5653.64
claritromicina,"CLARIMAX UD 9.659,91",500 mg comp.rec.AP.x 4,Montpellier,2883.46
claritromicina,"CLARIMAX UD 18.938,09",500 mg comp.rec.AP.x 8,Montpellier,5662.46
claritromicina,"AEROXINA U.D. 20.286,40",500 mg comp.rec.x 10,Elea,6726.04
claritromicina,"CLASID 2.297,92",500 mg comp.rec.x 16,Sidus,1148.96
claritromicina,"SOFERAX 6.037,96",500 mg comp.rec.x 16,Savant Generic,2415.18
claritromicina,CLARITROMICINA VANNIER,500 mg comp.rec.x 16,Vannier,31502.21
claritromicina,"CLARIMAX 33.365,06",500 500 mg comp.rec.x 16,Montpellier,10032.06
claritromicina,"QUOTAL 34.564,77",500 mg comp.rec.x 16,Siegfried,9970.49
claritromicina,"CLAROVIL 34.646,45",500 mg comp.rec.x 16,Beta,10533.41
claritromicina,"CLARIBIOTIC 35.683,26",500 500 mg comp.rec.x 16,Baliarda,10003.57
claritromicina,"AEROXINA U.D. 10.837,25",500 mg comp.rec.x 5,Elea,3593.14
claritromicina,"CLASID 1.366,47",500 mg comp.rec.x 8,Sidus,683.24
claritromicina,"CLAROVIL 17.957,88",500 mg comp.rec.x 8,Beta,5459.66
claritromicina,"CLARIMAX 19.990,70",500 500 mg comp.rec.x 8,Montpellier,5821.99
claritromicina,"AEROXINA U.D. 20.792,30",500 mg comp.rec.x 8,Elea,6411.34
claritromicina,"TUCLARIT 20.265,00",500 mg comp.x 14,Mar,5903.47
claritromicina,FADAMICINA,500 mg comp.x 16,Biosintex Retai,440.0
claritromicina,"NEUMODRYL 26.562,88",500 mg comp.x 16,Fecofar,9028.56
claritromicina,"MACROMICINA 28.080,00",500 mg comp.x 16,Austral,8772.0
claritromicina,"CLARITROMICINA RICHET 28.900,27",500 mg comp.x 16,Richet,9869.06
claritromicina,"KLONACID 29.183,05",500 mg comp.x 16,Klonal,8611.22
claritromicina,"CLARITROM 29.500,01",500 mg comp.x 16,Trb-Pharma,9029.09
claritromicina,,500 mg comp.x 16,,32560.42
claritromicina,"CORIXA 32.688,18",500 mg comp.x 16,Biotenk,9422.28
claritromicina,"CLARITROMICINA FABRA 33.385,00",500 mg comp.x 16,Fabra,10017.32
claritromicina,"ISET 34.071,64",500 mg comp.x 16,Casasco,10060.06
claritromicina,"AEROXINA 36.631,63",500 mg comp.x 16,Elea,11060.74
claritromicina,"KLARICID 49.588,44",500 mg comp.x 16,Abbott EPD,11533.59
claritromicina,"TUCLARIT 26.470,00",500 mg comp.x 20,Mar,8096.0
claritromicina,KAILASA,500 mg comp.x 20,Duncan,28379.1
claritromicina,"ISET U.D. 9.873,90",500 mg comp.x 4,Casasco,2889.47
claritromicina,"CLARITROMICINA RICHET 17.668,47",500 mg comp.x 8,Richet,5618.14
claritromicina,"ISET U.D. 19.357,78",500 mg comp.x 8,Casasco,5665.27
claritromicina,CORIXA,500 mg comp.x 8,Biotenk,19585.08
claritromicina,"KLARICID 30.043,76",500 mg comp.x 8,Abbott EPD,6987.78
claritromicina,,500 mg,Richet,10970.08
claritromicina,,QUOTAL UD comp.rec.acc.prol.x 4,Siegfried,10017.18
claritromicina,,"QUOTAL UD comp.rec.acc.prol.x 8 19.575,27",Siegfried,5349.85
claritromicina,,"KLARICID UD comp.x 5 20.930,43",Abbott EPD,4214.77
claritromicina,,"KLARICID UD comp.x 8 33.485,43",Abbott EPD,6743.16
claritromicina,,60 ml,Abbott EPD,2293.66
"claritromicina,",,70 ml,Casasco,29733.56
"claritromicina,",,ml,Siegfried,30568.45
"claritromicina,",,mg comp.rec.x 16,Siegfried,13515.76
"claritromicina,",,mg comp.x 16,Casasco,10665.63
"clebopride,",,rec.x 30,Baliarda,7821.69
"clebopride,",,rec.x 60,Baliarda,13934.11
clenbuterol,,"OXIBRON comp.x 20 10.354,64",Montpellier,1059.6
clenbuterol,,"BRONQ C comp.x 30 Laboratorios Be 15.953,20",,2295.84
clenbuterol,,100 ml,,3236.52
clindamicina,,x 30 g,Panalab,317.0
clindamicina,,100 mg,Raffo,4187.94
clindamicina,,100 mg,Raffo,5698.23
clindamicina,,300 mg,HLB Pharma,8757.82
clindamicina,,300 mg,Richet,5234.16
clindamicina,,300 mg,Lafedar,4090.81
clindamicina,,300 mg,Sidus,17998.81
clindamicina,,300 mg,Montpellier,5472.34
clindamicina,,300 mg,Casasco,5340.17
clindamicina,,300 300 mg,Pfizer,6080.27
clindamicina,,300 mg,Casasco,7560.26
clindamicina,,600 mg,Fabra,1825.38
clindamicina,,600 mg,Lafedar,8342.71
clindamicina,,50 x 4 ml,Gobbi,586021.13
clindamicina,MICROBION,75mg,Montpellier,36495.06
clindamicina,,CLIDAN 300 cÃ¡ps. x 16,CassarÃ¡,19630.0
clindamicina,,15 g,CassarÃ¡,2365.68
clindamicina,,x 30 g,HLB Pharma,8887.48
clindamicina,,30 ml,Siegfried,1086.88
clindamicina,,50 ml,Panalab,4845.6
clindamicina,,CLINDOPAX toallitas epiderm.x 30,Lagos,57356.49
clindamicina,,ml,Casasco,37404.96
"clindamicina,",,30 g,Fortbenton,688.08
"clindamicina,",,30g,Pharmatrix,11362.93
"clindamicina,",,x 20 g,Panalab,10644.67
"clindamicina,",,x 30 g,Raymos-Megalabs,2745.92
"clindamicina,",,x 30 g,CassarÃ¡,5297.94
"clindamicina,",,x 30 g,Oxapharma,43733.0
"clindamicina,",,5g,Pharmatrix,6626.26
"clindamicina,",,"benzoÃ­lo,perÃ³xid CP ACNE DUO PAK sob.x 30 36.231,81",Pharmatrix,11362.93
"clindamicina,",,mg,Lazar,7683.28
"clindamicina,",,"ketoconazol OVUMIX MAX cÃ¡ps.bl.vag.x 7 26.292,74",Elea,6672.41
"clindamicina,",,"ketoconazol TORGYN DUO caps.bland.vag.x 7 27.010,24",Raffo,9151.05
"clindamicina,",,ketoconazol COLPOSAN comp.vag.x 7,Raymos-Megalabs,25116.42
"clindamicina,",,"ketoconazol FRONT 2 ov.x 7 23.138,65",Biol,7666.01
"clindamicina,",,"ketoconazol GINCLIN ov.x 7 25.300,32",Baliarda,8235.93
"clindamicina,",,100 ml,CassarÃ¡,21440.0
clobazam,"KARIDIUM 8.628,70",10 mg comp.x 15,Elea,3863.86
clobazam,BAZAM,10 mg comp.x 60,Lafedar,35112.7
clobazam,"KARIDIUM 35.669,76",10 mg comp.x 60,Elea,4569.69
clobazam,"KARIDIUM 70.157,74",20 mg comp.x 60,Elea,7727.71
clobetasol,,15 g,Oxapharma,12051.87
clobetasol,,30 g,Fortbenton,4219.66
clobetasol,,30 g,Panalab,4717.2
clobetasol,,50 g,Panalab,45126.11
clobetasol,,30 ml,Panalab,6804.45
clobetasol,,125 ml,Galderma,10128.81
clobetasol,,x 150 ml,Panalab,74360.44
clobetasol,,30 g,Fortbenton,4219.66
clobetasol,,30 g,Panalab,6703.85
clobetasol,,15 g,GlaxoSmithKline,3880.07
clobetasol,,20 g,Raymos-Megalabs,3705.39
clobetasol,,20 g,HLB Pharma,3404.3
clobetasol,,20 g,Lafedar,13415.0
clobetasol,,20 g,Siegfried,3545.53
clobetasol,,20 g,AndrÃ³maco,5433.77
clobetasol,,30 g,Biosintex,3061.23
clobetasol,,30 g,Lazar,5599.68
clobetasol,,30 g,Lersan,3060.36
clobetasol,,30 g,Siegfried,5307.38
clobetasol,,30 g,AndrÃ³maco,7014.67
clobetasol,,30 g,Panalab,36048.24
clobetasol,,30 g,GlaxoSmithKline,7608.0
clobetasol,,60 g,Panalab,66384.85
clobetasol,,60 g,AndrÃ³maco,31828.91
clobetasol,,x 100 g,Siegfried,12229.88
clobetasol,,x 60 g,Lersan,10106.32
clobetasol,,30 ml,Fortbenton,980.69
clobetasol,,30 ml,Lafedar,16471.0
clobetasol,,30 ml,Siegfried,18795.67
clobetasol,,30 ml,Lersan,4068.57
clobetasol,,30 ml,GlaxoSmithKline,6014.34
clobetasol,,40 ml,AndrÃ³maco,6059.9
clobetasol,,x 100 g,Lersan,36480.0
clobetasol,,140 ml,AndrÃ³maco,16335.04
clobetasol,,15 g,Siegfried,2937.72
clobetasol,,15 g,GlaxoSmithKline,3676.22
clobetasol,,20 g,HLB Pharma,3404.3
clobetasol,,20 g,Lafedar,11940.0
clobetasol,,20 g,AndrÃ³maco,4841.1
clobetasol,,30 g,Lersan,3007.35
clobetasol,,30 g,GlaxoSmithKline,6979.62
clofarabina,,20 mg,Aspen,3497433.71
clofarabina,,1 x 20 ml,LKM Onco/Especi,2908210.0
clofarabina,,20 ml,Varifarma,3574268.24
clofarabina,,20 mg,Aspen,3817390.3
"clofedianol,",,100 ml,Casasco,3705.78
"clofedianol,",,100 ml,Abbott EPD,4117.54
"clofedianol,",,100 ml,Fecofar,3487.27
"clofedianol,",,100 ml,Fecofar,3487.27
"clofedianol,",,100 ml,Casasco,3705.78
"clofedianol,",,100 ml,Abbott EPD,4117.54
clofibrato,,"CLOFIBRATE MAGNESICO CHOB comp.x 50 64.293,04",Soubeiran Chobe,8653.74
"clomifeno,citrato",TOCOFENO,50 mg comp.x 20,Ferring,56500.88
"clomifeno,citrato",,CLOMIFEM comp.x 10 Laboratorios Be,,17582.27
"clomifeno,citrato",,CLOMIFEM comp.x 20 Laboratorios Be,,32665.49
"clomifeno,citrato",,GENOZYM comp.x 20,Siegfried,35553.96
"clomifeno,citrato",,GENOZYM comp.x 60,Siegfried,65773.7
clomipramina,"ANAFRANIL 75 DIVITABS 68.705,78",75 mg comp.rec.x 20,Biosidus S.A.U.,9779.74
clomipramina,,"CLOMISAL DIVIDOSIS comp.ran.divids.x 20 28.713,17",Ariston,8355.3
clomipramina,,"CLOMISAL DIVIDOSIS comp.ran.divids.x 30 35.561,48",Ariston,12533.0
clomipramina,,"ANAFRANIL grag.x 30 32.477,78",Biosidus S.A.U.,4623.04
clonazepam,"QUAZEMIC SL 8.450,02",0.25 mg comp.subl. x 30,Casasco,2097.98
clonazepam,"CLONAGIN SL 5.437,20",0.25 mg comp.subl.x 15,Baliarda,1334.54
clonazepam,"CLONAX RAPID 5.830,89",0.25 mg comp.subl.x 30,Beta,2915.45
clonazepam,"DIOCAM SL 8.006,34",0.25 mg comp.subl.x 30,Gador,2193.97
clonazepam,"CLONAGIN SL 9.266,04",0.25 mg comp.subl.x 30,Baliarda,2331.03
clonazepam,"INDUZEPAM 7.275,42",0.25 mg comp.x 30,Finadiet,1648.42
clonazepam,"NEURYL 7.218,39",0.25 mg comp.x 50,BagÃ³,3369.96
clonazepam,"QUAZEMIC 9.847,90",0.25 mg comp.x 60,Casasco,3049.98
clonazepam,"CLONAGIN 12.150,94",0.25 0.25 mg comp.x 60,Baliarda,2364.07
clonazepam,"RIBOCLER 0.5 MG 14.245,00",0.5 mg comp.birran.x 30,Monserrat,2806.98
clonazepam,"RIBOCLER 0.5 MG 18.360,00",0.5 mg comp.birran.x 50,Monserrat,4254.3
clonazepam,"CLONAZEPAM ROSPAW 11.427,45",0.5 mg comp.birranur.x30,Rospaw,3391.83
clonazepam,"CLONAZEPAM ROSPAW 18.220,59",0.5 mg comp.birranur.x60,Rospaw,5217.95
clonazepam,RIUCLONAZ,0.5 mg comp.ran.x 30,Medipharma,10716.45
clonazepam,RIUCLONAZ,0.5 mg comp.ran.x 60,Medipharma,18342.76
clonazepam,"LEPTIC 5.712,39",0.5 mg comp.x 10,Soubeiran Chobe,1674.71
clonazepam,CLONAZEPAM DUNCAN,0.5 mg comp.x 30,Duncan,3473.94
clonazepam,NAZEPAMCLO,0.5 mg comp.x 30,HLB Pharma,7960.23
clonazepam,"CLONER 11.211,44",0.5 mg comp.x 30,Vannier,3547.74
clonazepam,"CLONAX 12.058,57",0.5 mg comp.x 30,Beta,4129.13
clonazepam,"LEPTIC 12.500,40",0.5 mg comp.x 30,Soubeiran Chobe,3181.63
clonazepam,"SOLFIDIN 12.745,10",0.5 mg comp.x 30,Rontag,3423.4
clonazepam,"DIOCAM 13.144,22",0.5 mg comp.x 30,Gador,3492.02
clonazepam,"QUAZEMIC 13.502,91",0.5 mg comp.x 30,Casasco,3559.46
clonazepam,"SOLFIDIN FLASH 13.862,33",0.5 mg comp.x 30,Rontag,4460.62
clonazepam,"NEURYL 14.404,27",0.5 mg comp.x 30,BagÃ³,3897.15
clonazepam,"CLONAGIN 15.182,55",0.5 0.5 mg comp.x 30,Baliarda,3941.89
clonazepam,,0.5 mg comp.x 30,,5277.49
clonazepam,"DIOCAM 16.869,13",0.5 mg comp.x 50,Gador,4997.98
clonazepam,"CLONER 16.877,55",0.5 mg comp.x 50,Vannier,4533.79
clonazepam,"LEPTIC 16.973,43",0.5 mg comp.x 50,Soubeiran Chobe,5047.04
clonazepam,"CLONAX 18.401,42",0.5 mg comp.x 50,Beta,6349.02
clonazepam,"NEURYL 18.902,66",0.5 mg comp.x 50,BagÃ³,6222.0
clonazepam,"CLONAGIN 19.475,28",0.5 0.5 mg comp.x 50,Baliarda,5037.58
clonazepam,,0.5 mg comp.x 50,,6686.77
clonazepam,NAZEPAMCLO,0.5 mg comp.x 60,HLB Pharma,12994.66
clonazepam,"CLONAZEPAM DENVER FARMA 18.712,18",0.5 mg comp.x 60,Denver Farma,5518.91
clonazepam,"DIOCAM 19.334,08",0.5 mg comp.x 60,Gador,5982.44
clonazepam,LEPTIC,0.5 mg comp.x 60,Soubeiran Chobe,20145.31
clonazepam,"QUAZEMIC 20.370,15",0.5 mg comp.x 60,Casasco,5729.8
clonazepam,"NEURYL 21.657,68",0.5 mg comp.x 60,BagÃ³,6224.93
clonazepam,"CLONAGIN 22.337,66",0.5 0.5 mg comp.x 60,Baliarda,6268.53
clonazepam,,0.5 mg comp.x 60,,7017.96
clonazepam,"SOLFIDIN FLASH 27.723,43",0.5 mg comp.x 60,Rontag,8921.47
clonazepam,"INDUZEPAM 10.501,05",0.50 mg comp.x 30,Finadiet,2576.69
clonazepam,"INDUZEPAM 15.434,83",0.50 mg comp.x 50,Finadiet,3908.07
clonazepam,"CLONAZEPAM ROSPAW 11.802,46",1 mg comp.birranur.x 30,Rospaw,3358.42
clonazepam,"CLONAZEPAM ROSPAW 17.460,92",1 mg comp.birranur.x 60,Rospaw,4459.3
clonazepam,NAZEPAMCLO,1 mg comp.x 30,HLB Pharma,8281.88
clonazepam,"DIOCAM 13.517,69",1 mg comp.x 30,Gador,3683.2
clonazepam,"QUAZEMIC 14.102,81",1 mg comp.x 30,Casasco,3580.06
clonazepam,"CLONAX 14.238,40",1 mg comp.x 30,Beta,4875.55
clonazepam,"CLONAGIN 15.610,57",1 1 mg comp.x 30,Baliarda,3977.9
clonazepam,"DIOCAM 16.885,99",1 mg comp.x 50,Gador,5854.24
clonazepam,"NEURYL 18.311,54",1 mg comp.x 50,BagÃ³,5914.51
clonazepam,"CLONAX 18.401,42",1 mg comp.x 50,Beta,6349.02
clonazepam,NAZEPAMCLO,1 mg comp.x 60,HLB Pharma,14945.73
clonazepam,"DIOCAM 19.291,53",1 mg comp.x 60,Gador,6106.12
clonazepam,"QUAZEMIC 20.425,84",1 mg comp.x 60,Casasco,5660.31
clonazepam,"NEURYL 21.891,39",1 mg comp.x 60,BagÃ³,6576.96
clonazepam,"CLONAGIN 22.276,10",1 1 mg comp.x 60,Baliarda,6289.35
clonazepam,"RIBOCLER 2 MG 15.300,00",2 mg comp.birran.x 30,Monserrat,1250.25
clonazepam,"RIBOCLER 2 MG 19.600,00",2 mg comp.birran.x 50,Monserrat,1840.6
clonazepam,"CLONAZEPAM ROSPAW 12.372,72",2 mg comp.birranur.x 30,Rospaw,1412.18
clonazepam,"CLONAZEPAM ROSPAW 17.343,22",2 mg comp.birranur.x 60,Rospaw,1875.22
clonazepam,RIUCLONAZ,2 mg comp.ran.x 30,Medipharma,11702.6
clonazepam,RIUCLONAZ,2 mg comp.ran.x 60,Medipharma,18851.14
clonazepam,CLONALEP,2 mg comp.x 10,Lepetit,4580.0
clonazepam,"LEPTIC 6.715,44",2 mg comp.x 10,Soubeiran Chobe,800.69
clonazepam,CLONAZEPAM LEPRET,2 mg comp.x 30,Pretoria,368.0
clonazepam,CLONAZEPAM DUNCAN,2 mg comp.x 30,Duncan,3598.71
clonazepam,NAZEPAMCLO,2 mg comp.x 30,HLB Pharma,8869.97
clonazepam,"CLONER 12.211,56",2 mg comp.x 30,Vannier,1575.32
clonazepam,"INDUZEPAM 12.773,44",2 mg comp.x 30,Finadiet,1310.2
clonazepam,"LEPTIC 12.912,86",2 mg comp.x 30,Soubeiran Chobe,1530.03
clonazepam,"SOLFIDIN 13.602,56",2 mg comp.x 30,Rontag,1832.43
clonazepam,CLONALEP,2 mg comp.x 30,Lepetit,13740.0
clonazepam,"DIOCAM 14.004,23",2 mg comp.x 30,Gador,1602.68
clonazepam,"CLONAX 14.821,40",2 mg comp.x 30,Beta,1999.64
clonazepam,"QUAZEMIC 14.834,23",2 mg comp.x 30,Casasco,1516.37
clonazepam,"NEURYL 14.956,41",2 mg comp.x 30,BagÃ³,1636.82
clonazepam,"CLONAGIN 16.210,06",2 2 mg comp.x 30,Baliarda,1807.5
clonazepam,,2 mg comp.x 30,,1996.42
clonazepam,CLONER,2 mg comp.x 50,Vannier,9702.5
clonazepam,"INDUZEPAM 16.456,32",2 mg comp.x 50,Finadiet,1933.05
clonazepam,"DIOCAM 17.883,93",2 mg comp.x 50,Gador,2453.22
clonazepam,"LEPTIC 17.970,28",2 mg comp.x 50,Soubeiran Chobe,2339.88
clonazepam,"CLONAX 19.193,97",2 mg comp.x 50,Beta,2539.61
clonazepam,"CLONAGIN 20.681,40",2 2 mg comp.x 50,Baliarda,2353.96
clonazepam,,2 mg comp.x 50,,2485.36
clonazepam,"NEURYL 21.407,16",2 mg comp.x 50,BagÃ³,2917.22
clonazepam,CLONAZEPAM DUNCAN,2 mg comp.x 60,Duncan,6688.82
clonazepam,NAZEPAMCLO,2 mg comp.x 60,HLB Pharma,16082.91
clonazepam,"CLONAZEPAM DENVER FARMA 19.080,35",2 mg comp.x 60,Denver Farma,2264.46
clonazepam,LEPTIC,2 mg comp.x 60,Soubeiran Chobe,19115.29
clonazepam,"DIOCAM 19.408,05",2 mg comp.x 60,Gador,2464.58
clonazepam,"QUAZEMIC 20.486,40",2 mg comp.x 60,Casasco,2153.21
clonazepam,"NEURYL 22.270,20",2 mg comp.x 60,BagÃ³,2698.67
clonazepam,"CLONAGIN 22.458,20",2 2 mg comp.x 60,Baliarda,2516.87
clonazepam,,2 mg comp.x 60,,2610.21
clonazepam,"EDICTUM 10.584,11",0.5 MG comp.x 30,PharmaDorf,3437.23
clonazepam,"EDICTUM 12.675,89",2 MG comp.x 30,PharmaDorf,1545.77
clonazepam,"EDICTUM 16.851,54",0.5 MG comp.x 60,PharmaDorf,5355.45
clonazepam,"EDICTUM 18.299,19",2 MG comp.x 60,PharmaDorf,2150.3
clonazepam,,0.5 mg comp.x 50,BagÃ³,8094.65
clonazepam,,20 ml,Vannier,3652.52
clonazepam,,20 ml,BagÃ³,4727.64
clonazepam,,20 ml,Casasco,3654.76
clonazepam,,20 ml,Baliarda,4060.89
"clonidina,",,"clortalidona BEMPLAS comp.x 30 17.648,99",Casasco,3123.61
"clonidina,",,"clortalidona BEMPLAS comp.x 60 37.164,99",Casasco,5970.37
clonixinato,,100 x 4 ml,Veinfar,417154.5
clonixinato,,x 50 g,Roemmers,10962.0
clonixinato,,rec.x 20,Roemmers,5647.35
clonixinato,,"lisina, ergotamina MIGRA DORIXINA comp.x 10 6.658,00",Roemmers,2157.42
clonixinato,,"lisina, vit.b,comp DORIXINA B1 B6 B12 comp.x 20",Roemmers,7416.0
clopidogrel,,75 mg comp.rec.x 14,,10852.42
clopidogrel,"CLOPILEP 30.180,00",75 mg comp.rec.x 15,Lepetit,6417.54
clopidogrel,,75 mg comp.rec.x 28,,17064.87
clopidogrel,,75 mg comp.rec.x 30,,21270.23
clopidogrel,"CLOPILEP 60.350,00",75 mg comp.rec.x 30,Lepetit,12701.82
clopidogrel,,75 mg comp.rec.x 30,,22861.73
clopidogrel,"MONREX 68.922,92",75 mg comp.rec.x 30,Montpellier,23729.34
clopidogrel,"PLEYAR 69.660,72",75 mg comp.rec.x 30,Casasco,27124.78
clopidogrel,"CLODREL 71.641,41",75 mg comp.rec.x 30,Baliarda,24454.18
clopidogrel,"NABRATIN 71.946,16",75 mg comp.rec.x 30,Raffo,27943.6
clopidogrel,"CLOPILEP 120.700,00",75 mg comp.rec.x 60,Lepetit,25447.35
clopidogrel,"CLOPIDOGREL ROSPAW 27.014,70",75 mg comp.x 10,Rospaw,8490.47
clopidogrel,"TROKEN 35.430,74",75 mg comp.x 15,BagÃ³,16638.13
clopidogrel,"NEFAZAN 35.648,96",75 mg comp.x 15,Elea,14129.27
clopidogrel,CLOPIDOGREL TEVA,75 mg comp.x 30,Teva argentina,8040.78
clopidogrel,"CLOPIDOGREL RICHET 48.799,73",75 mg comp.x 30,Richet,19894.86
clopidogrel,"TRIUROL 49.979,99",75 mg comp.x 30,Fecofar,21375.29
clopidogrel,"CLOPIDOGREL ROSPAW 65.122,53",75 mg comp.x 30,Rospaw,22219.45
clopidogrel,"ANTIPLAQ 70.499,20",75 mg comp.x 30,Richmond,24490.66
clopidogrel,"NEFAZAN 72.283,60",75 mg comp.x 30,Elea,28790.33
clopidogrel,"TROKEN 77.639,64",75 mg comp.x 30,BagÃ³,33786.86
clopidogrel,"CLOPIDOGREL RICHET 96.574,11",75 mg comp.x 60,Richet,28412.98
clorambucilo,,2 mg,Aspen Pharma,355535.73
"cloranfenicol,",,x 5 ml,Poen,9662.94
"cloranfenicol,",,5 g,Lafedar,11590.8
clorazepato,,10 mg comp.x 50,Finadiet,4217.42
clorazepato,,5 mg comp.x 50,Finadiet,3630.66
"clordiazepÃ³xido,",,rec.x 30,Siegfried,10570.33
clorfeniramina,,"ALERGITRAT comp.x 20 12.356,11",Fecofar,2716.15
clorfeniramina,,120 ml,Fecofar,2716.15
clorfeniramina,,rec.x 10,Temis-LostalÃ³,9142.59
"clorfeniramina,",,asoc. DECIDEX caps.x 10,Roemmers,6903.0
"clorfeniramina,",,30 ml,Roemmers,10233.0
"clorfeniramina,",,100 ml,Roemmers,8042.0
"clorfeniramina,",,150 ml,Temis-LostalÃ³,29932.37
clorhexidina,,x 130 ml,CassarÃ¡,24290.0
clorhexidina,,x 60 ml,Elea,16497.39
clorhexidina,,x 40 ml,Elea,14311.02
clorhexidina,,x 60 ml,Elea,17943.63
clorhexidina,,200 ml,Elea,17541.24
clorhexidina,,500 ml,Elea,31421.69
clorhexidina,,x 60 ml,,9690.0
clorhexidina,,x 60 ml,Biosintex Retai,10427.0
clorhexidina,,x 60 ml,Monserrat,17250.0
"clorhexidina,",,x 60 ml,,775.39
"clorhexidina,",,x 60 ml,,15920.62
"clorhexidina,",,60 ml,,17232.98
"clorocresol,",,100 g,Omicron,13900.0
"clorocresol,",,60 g,Omicron,8848.03
clorpromazina,CLORPROMAZINA DUNCAN,100 mg comp.rec.x 50,Duncan,46328.34
clorpromazina,CLORPROMAZINA CEVALLOS100,mg comp.x 50,Cevallos,39700.0
